Timestamp,CPU %,Memory %,Disk %,Network Sent,Network Recv,Alerts
2026-05-31 21:23:51,20.4,55.9,67.0,4578175,120712880,None
2026-05-31 21:23:57,15.2,55.9,67.0,4636562,120746216,None
2026-05-31 21:24:04,28.6,55.8,67.0,4649627,120766744,None
2026-05-31 21:24:10,33.1,55.9,67.0,4666064,120776212,None
2026-05-31 21:24:16,40.5,55.3,67.0,4717641,120795109,None
2026-05-31 21:24:22,6.3,55.2,67.0,4767283,120897038,None
2026-05-31 21:24:28,9.5,55.2,67.0,4819826,120934858,None
2026-05-31 21:24:34,4.9,55.1,67.0,4833779,120953476,None
2026-05-31 21:24:40,4.9,55.1,67.0,4850261,120982036,None
2026-05-31 21:24:46,13.1,56.3,67.0,4911309,121351726,None
2026-05-31 21:24:52,6.0,56.2,67.0,4942159,121368433,None
2026-05-31 21:24:58,7.8,56.2,67.0,4954452,121390989,None
2026-05-31 21:25:04,7.1,56.1,67.0,4965626,121401816,None
2026-05-31 21:25:10,3.9,56.1,67.0,4978134,121414737,None
2026-05-31 21:25:16,4.3,56.1,67.0,4989168,121425159,None
2026-05-31 21:25:22,5.5,55.5,67.0,5007481,121437083,None
2026-05-31 21:25:28,13.0,55.8,67.0,5038478,121458072,None
2026-05-31 22:24:47,11.1,58.1,67.0,3850212,3306583,None
2026-05-31 22:24:53,6.5,58.0,67.0,3917873,3346456,None
2026-05-31 22:24:59,12.2,57.9,67.0,3949715,3372581,None
2026-06-01 07:27:26,82.1,62.9,67.5,115805646,358481251,HIGH CPU: 82.1%
2026-06-01 07:27:32,50.3,63.3,67.5,116043791,358805878,None
2026-06-01 07:27:38,39.1,63.5,67.5,116302501,359138827,None
2026-06-01 07:27:44,44.3,63.5,67.5,116517569,359494304,None
2026-06-01 07:27:50,34.5,63.5,67.5,116732480,359842924,None
